profile_id_1,profile_id_2,pair_ID,wage_1,wage_2,mangender_1,mangender_2,flexschedule_1,flexschedule_2,parental_1,parental_2,skillsdev_1,skillsdev_2
2,145,198,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,low
2,146,199,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,moderate
2,147,200,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,high
2,148,201,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,low
2,149,202,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,moderate
2,150,203,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,high
2,151,204,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,low
2,152,205,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,moderate
2,153,206,-5%,+5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,high
2,154,207,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,low
2,155,208,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,moderate
2,156,209,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,high
2,157,210,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,low
2,158,211,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,moderate
2,159,212,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,high
2,160,213,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,low
2,161,214,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,moderate
2,162,215,-5%,+5%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,high
2,163,216,-5%,+10%,M,M,no influence,no influence,no additional leave,no additional leave,moderate,low
2,166,217,-5%,+10%,M,M,no influence,no influence,no additional leave,3 extra days,moderate,low
2,169,218,-5%,+10%,M,M,no influence,no influence,no additional leave,one extra week,moderate,low
2,172,219,-5%,+10%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,low
2,175,220,-5%,+10%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,low
2,178,221,-5%,+10%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,low
2,181,222,-5%,+10%,M,M,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,low
2,184,223,-5%,+10%,M,M,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,low
2,187,224,-5%,+10%,M,M,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,low
2,190,225,-5%,+10%,M,F,no influence,no influence,no additional leave,no additional leave,moderate,low
2,191,226,-5%,+10%,M,F,no influence,no influence,no additional leave,no additional leave,moderate,moderate
2,192,227,-5%,+10%,M,F,no influence,no influence,no additional leave,no additional leave,moderate,high
2,193,228,-5%,+10%,M,F,no influence,no influence,no additional leave,3 extra days,moderate,low
2,194,229,-5%,+10%,M,F,no influence,no influence,no additional leave,3 extra days,moderate,moderate
2,195,230,-5%,+10%,M,F,no influence,no influence,no additional leave,3 extra days,moderate,high
2,196,231,-5%,+10%,M,F,no influence,no influence,no additional leave,one extra week,moderate,low
2,197,232,-5%,+10%,M,F,no influence,no influence,no additional leave,one extra week,moderate,moderate
2,198,233,-5%,+10%,M,F,no influence,no influence,no additional leave,one extra week,moderate,high
2,199,234,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,low
2,200,235,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,moderate
2,201,236,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,high
2,202,237,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,low
2,203,238,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,moderate
2,204,239,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,high
2,205,240,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,low
2,206,241,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,moderate
2,207,242,-5%,+10%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,high
2,208,243,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,low
2,209,244,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,moderate
2,210,245,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,high
2,211,246,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,low
2,212,247,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,moderate
2,213,248,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,high
2,214,249,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,low
2,215,250,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,moderate
2,216,251,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,high
3,4,252,-5%,-5%,M,M,no influence,no influence,no additional leave,3 extra days,high,low
3,5,253,-5%,-5%,M,M,no influence,no influence,no additional leave,3 extra days,high,moderate
3,7,254,-5%,-5%,M,M,no influence,no influence,no additional leave,one extra week,high,low
3,8,255,-5%,-5%,M,M,no influence,no influence,no additional leave,one extra week,high,moderate
3,10,256,-5%,-5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,high,low
3,11,257,-5%,-5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,high,moderate
3,13,258,-5%,-5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,high,low
3,14,259,-5%,-5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,high,moderate
3,16,260,-5%,-5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,high,low
3,17,261,-5%,-5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,high,moderate
3,19,262,-5%,-5%,M,M,no influence,entirely flexible schedue,no additional leave,no additional leave,high,low
3,20,263,-5%,-5%,M,M,no influence,entirely flexible schedue,no additional leave,no additional leave,high,moderate
3,22,264,-5%,-5%,M,M,no influence,entirely flexible schedue,no additional leave,3 extra days,high,low
3,23,265,-5%,-5%,M,M,no influence,entirely flexible schedue,no additional leave,3 extra days,high,moderate
3,25,266,-5%,-5%,M,M,no influence,entirely flexible schedue,no additional leave,one extra week,high,low
3,26,267,-5%,-5%,M,M,no influence,entirely flexible schedue,no additional leave,one extra week,high,moderate
3,28,268,-5%,-5%,M,F,no influence,no influence,no additional leave,no additional leave,high,low
3,29,269,-5%,-5%,M,F,no influence,no influence,no additional leave,no additional leave,high,moderate
3,30,270,-5%,-5%,M,F,no influence,no influence,no additional leave,no additional leave,high,high
3,31,271,-5%,-5%,M,F,no influence,no influence,no additional leave,3 extra days,high,low
3,32,272,-5%,-5%,M,F,no influence,no influence,no additional leave,3 extra days,high,moderate
3,33,273,-5%,-5%,M,F,no influence,no influence,no additional leave,3 extra days,high,high
3,34,274,-5%,-5%,M,F,no influence,no influence,no additional leave,one extra week,high,low
3,35,275,-5%,-5%,M,F,no influence,no influence,no additional leave,one extra week,high,moderate
3,36,276,-5%,-5%,M,F,no influence,no influence,no additional leave,one extra week,high,high
3,37,277,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,high,low
3,38,278,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,high,moderate
